missing_rate,method,chunk_index,day_index,flow_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max
0.3,zero_fill,18,18,low_flow,False,402191,402191,0,1295.888427734375,1324.58740234375,1.0,2.0,0.8898258835939977,521194656.0,705656848384.0,395256.0,395256,790512.0,395256,0.0,1488.5916748046875
0.3,zero_fill,18,18,mid_flow,False,399135,399135,0,2277.09716796875,2333.14794921875,1.0,2.0,1.6392567079455178,908869184.0,2172723134464.0,399135.0,399135,798270.0,399135,1488.5931396484375,2911.889404296875
0.3,zero_fill,18,18,overall,False,1208257,1208257,0,2445.535400390625,2726.018310546875,1.0,2.0,0.2622604704343758,2954835200.0,8978769641472.0,1201322.0,1201322,2402644.0,1201322,0.0,10394.31640625
0.3,zero_fill,19,19,high_flow,False,404778,404778,0,3748.529052734375,3873.589111328125,1.0,2.0,0.5169154696316555,1517322112.0,6073569247232.0,404778.0,404778,809556.0,404778,2911.89013671875,10405.55078125
0.3,zero_fill,19,19,low_flow,False,404268,404268,0,1296.3353271484375,1325.047119140625,1.0,2.0,0.8901339073163316,524066912.0,709793480704.0,397158.0,397158,794316.0,397158,0.0,1488.593017578125
0.3,zero_fill,19,19,mid_flow,False,401267,401267,0,2280.4814453125,2336.306640625,1.0,2.0,1.641479224880399,915081920.0,2190247198720.0,401267.0,401267,802534.0,401267,1488.593994140625,2911.887451171875
0.3,zero_fill,19,19,overall,False,1210313,1210313,0,2442.73193359375,2722.919189453125,1.0,2.0,0.2616794869099688,2956470272.0,8973610647552.0,1203203.0,1203203,2406406.0,1203203,0.0,10405.55078125
0.3,zero_fill,20,20,high_flow,False,407262,407262,0,3745.179931640625,3869.44677734375,1.0,2.0,0.5175287735868309,1525269504.0,6097778769920.0,407262.0,407262,814524.0,407262,2911.891845703125,10388.66796875
0.3,zero_fill,20,20,low_flow,False,405361,405361,0,1296.7828369140625,1324.307373046875,1.0,2.0,0.8896369641726954,525665184.0,710918012928.0,398920.0,398920,797840.0,398920,0.0,1488.593017578125
0.3,zero_fill,20,20,mid_flow,False,397542,397542,0,2281.15234375,2337.072509765625,1.0,2.0,1.6420153497099481,906853824.0,2171337703424.0,397542.0,397542,795084.0,397542,1488.593505859375,2911.888671875
