Round,Client,Local_Epoch,Train_Loss,Val_Loss
16,1,0,2428.7274351146707,3798.134531058517
16,1,1,2411.4966982886904,3777.0345578661154
16,1,2,2394.313525800945,3755.5060987285538
16,2,0,5975.713198134117,7344.2266175176055
16,2,1,5939.502357897384,7303.708626760564
16,2,2,5903.313527650276,7263.394682548415
16,3,0,2987.1484375,4328.487234933035
16,3,1,2966.417724609375,4303.792271205357
16,3,2,2945.7358099489797,4278.778250558035
16,4,0,509.13527229261695,1881.475830078125
16,4,1,497.3056830175175,1881.8741402004075
16,4,2,487.65841788534794,1883.2059856912365
17,0,0,3861.1928333577284,5589.8597912397545
17,0,1,3837.8827736204626,5561.845895235656
17,0,2,3814.624339047863,5533.6836177638315
17,1,0,2375.765694754464,3732.8131462545957
17,1,1,2360.281957118785,3713.8522183287378
17,1,2,2344.8491621257876,3694.5039876302085
17,2,0,5892.370024836519,7253.59579940581
17,2,1,5859.688577755596,7216.9832952794895
17,2,2,5827.049904898139,7180.59980881382
17,3,0,2928.341044523278,4258.944963727678
17,3,1,2909.6902503188776,4236.729073660715
17,3,2,2891.0954639668366,4214.203543526785
17,4,0,496.477271038553,1837.0108111837635
17,4,1,483.2901114706667,1838.2184421705163
17,4,2,474.3908581467149,1841.6283808169158
18,0,0,3799.8115634605533,5517.253562051742
18,0,1,3778.817305053425,5492.0214603611685
18,0,2,3757.880252168106,5466.690805904201
18,1,0,2328.180804939163,3674.0024126838234
18,1,1,2314.2674139968485,3657.0171042049633
18,1,2,2300.4050511806286,3639.647470511642
18,2,0,5817.18356525874,7171.74795059419
18,2,1,5787.697219449509,7138.718179192341
18,2,2,5758.268980091487,7105.890893210827
18,3,0,2875.4458107461733,4196.268903459822
18,3,1,2858.6691396285078,4176.305036272322
18,3,2,2841.9506686463646,4156.037876674107
18,4,0,485.40997390273196,1797.132711659307
18,4,1,471.39569774177505,1799.2947095788043
18,4,2,461.99494204313856,1805.5022609544837
19,0,0,3744.512106401859,5451.779633068648
19,0,1,3725.596590493267,5429.0250224129095
19,0,2,3706.749507144687,5406.226266329406
19,1,0,2285.4100693988535,3621.0607527190564
19,1,1,2272.8988922717526,3605.850638595282
19,1,2,2260.444164970676,3590.2388509114585
19,2,0,5749.349008111167,7097.828661421655
19,2,1,5722.741072411029,7068.049467704665
19,2,2,5696.211917992329,7038.448407240317
19,3,0,2827.8489815848216,4139.817173549107
19,3,1,2812.7510961415815,4121.888950892857
19,3,2,2797.7188695790815,4103.645228794643
19,4,0,473.30632635081037,1761.5072976817255
19,4,1,460.0125755167896,1765.1068699048913
19,4,2,451.38408930997673,1770.961282481318
20,0,0,3694.9414885831384,5393.0348360655735
20,0,1,3677.9014495206384,5372.496125768443
20,0,2,3660.9368516265367,5351.9691662397545
20,1,0,2247.153099423363,3573.6247510723038
20,1,1,2235.899925595238,3560.0281575520835
20,1,2,2224.70818493413,3545.979640586703
