missing_rate,method,flow_group,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,neighbor_available_count,neighbor_coverage,mean_positive_corr,MAE,RMSE,MAPE,sMAPE,NRMSE
0.2,forward_fill,low_flow,14646044,14646044,0,24313884.0,14646044.0,0.0,1732850422.0,1056696747008.0,3048113.046875,14398740,1726841.6484375,14498810,0.0,1487.3021240234375,118.31525441272743,268.60557229027523,0.21169304028512217,0.1191023020811708,0.18059919901388,1.6600990683900718,1.0,0.0,118.31525441272743,268.60557229027523,0.21169304028512217,0.1191023020811708,0.18059919901388
0.2,forward_fill,mid_flow,14172423,14172423,0,25836680.0,14172423.0,0.0,2759636860.0,1782751608832.0,1240596.4140625,14172423,1274182.0859375,14172423,1487.30224609375,2896.583740234375,194.71877603427444,354.6691102792212,0.08753594315259289,0.08990573354587991,0.2516666200144047,1.8230248984242143,1.0,0.0,194.71877603427444,354.6691102792212,0.08753594315259289,0.08990573354587991,0.2516666200144047
0.2,function_curve_fit,high_flow,14759275,14759275,0,31621097.0,14759275.0,0.0,2226194964.0,1089556276224.0,601220.44140625,14759275,625071.3916015625,14759275,2896.583984375,10472.572265625,150.83362590642156,271.7016782554554,0.040735093113059416,0.04235109052453881,0.035863529373177175,2.142455981069531,1.0,0.0,150.83362590642156,271.7016782554554,0.040735093113059416,0.04235109052453881,0.035863529373177175
0.2,function_curve_fit,low_flow,14646044,14646044,0,24313884.0,14646044.0,0.0,1482943918.0,797915422720.0,3266879.21484375,14398740,1704895.2578125,14646006,0.0,1487.3021240234375,101.25218236405681,233.40935715575634,0.226886464707589,0.11640683868438262,0.15693472992853616,1.6600990683900718,1.0,0.0,101.25218236405681,233.40935715575634,0.226886464707589,0.11640683868438262,0.15693472992853616
0.2,function_curve_fit,mid_flow,14172423,14172423,0,25836680.0,14172423.0,0.0,2169213976.0,1004649393152.0,991896.1171875,14172423,972199.146484375,14172423,1487.30224609375,2896.583740234375,153.0587942513429,266.2472986254213,0.06998775842264233,0.06859794874061938,0.18892414307035088,1.8230248984242143,1.0,0.0,153.0587942513429,266.2472986254213,0.06998775842264233,0.06859794874061938,0.18892414307035088
0.2,historical_linear_extrapolation,high_flow,14759275,14759275,0,31621097.0,14759275.0,0.0,2276769168.0,1239556534272.0,614951.79296875,14759275,639909.8916015625,14759275,2896.583984375,10472.572265625,154.26023080401984,289.80151876833537,0.04166544718278845,0.04335645833562709,0.03825263556512783,2.142455981069531,1.0,0.0,154.26023080401984,289.80151876833537,0.04166544718278845,0.04335645833562709,0.03825263556512783
0.2,historical_linear_extrapolation,low_flow,14646044,14646044,0,24313884.0,14646044.0,0.0,1553977330.0,852011760640.0,3175230.2109375,14398740,1678861.048828125,14587316,0.0,1487.3021240234375,106.10218909625016,241.1918493518146,0.22052139360371115,0.11509046961265013,0.1621673535295871,1.6600990683900718,1.0,0.0,106.10218909625016,241.1918493518146,0.22052139360371115,0.11509046961265013,0.1621673535295871
0.2,historical_linear_extrapolation,mid_flow,14172423,14172423,0,25836680.0,14172423.0,0.0,2331512496.0,1184617242624.0,1056995.849609375,14172423,1040381.66796875,14172423,1487.30224609375,2896.583740234375,164.51050720120335,289.11256834361564,0.07458116721532902,0.07340887778813475,0.2051489142131363,1.8230248984242143,1.0,0.0,164.51050720120335,289.11256834361564,0.07458116721532902,0.07340887778813475,0.2051489142131363
0.2,mean_fill,high_flow,14759275,14759275,0,31621097.0,14759275.0,0.0,2060611902.0,981327649792.0,555953.814453125,14759275,576636.2783203125,14759275,2896.583984375,10472.572265625,139.6147102076491,257.854375593714,0.03766809782005722,0.0390694175913324,0.03403574108369256,2.142455981069531,1.0,0.0,139.6147102076491,257.854375593714,0.03766809782005722,0.0390694175913324,0.03403574108369256
0.2,mean_fill,low_flow,14646044,14646044,0,24313884.0,14646044.0,0.0,1394727416.0,720256701440.0,2952976.78125,14398740,1536857.212890625,14587426,0.0,1487.3021240234375,95.2289516541122,221.7601397485055,0.20508577703674072,0.10535492779127895,0.14910228134993972,1.6600990683900718,1.0,0.0,95.2289516541122,221.7601397485055,0.20508577703674072,0.10535492779127895,0.14910228134993972
0.2,mean_fill,mid_flow,14172423,14172423,0,25836680.0,14172423.0,0.0,2067710448.0,938781333504.0,941929.404296875,14172423,924938.7314453125,14172423,1487.30224609375,2896.583740234375,145.89674948313356,257.3713317327636,0.06646212890321401,0.06526327441999949,0.18262592165074001,1.8230248984242143,1.0,0.0,145.89674948313356,257.3713317327636,0.06646212890321401,0.06526327441999949,0.18262592165074001
