missing_rate,method,chunk_index,day_index,group_dimension,flow_group,length_group,neighbor_coverage_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,MAE,RMSE,MAPE,sMAPE,NRMSE
0.05,function_curve_fit,10,10,flow_group,high_flow,overall,overall,False,69686,69686,0,166707.0,69686.0,0.0,177.0109405517578,319.07763671875,0.0473049022257328,0.049940068274736404,0.04929521312809019,12335184.0,7094769152.0,3296.489501953125,69686,3480.12353515625,69686,2896.59326171875,9369.384765625,177.0109405517578,319.07763671875,0.0473049022257328,0.049940068274736404,0.04929521312809019
0.05,function_curve_fit,10,10,flow_group,low_flow,overall,overall,False,66585,66585,0,120379.0,66585.0,0.0,104.60515594482422,236.31439208984375,0.13999153673648834,0.12008416652679443,0.15888804570463558,6965134.5,3718405632.0,9162.8662109375,65453,7995.80419921875,66585,0.0,1487.30126953125,104.60515594482422,236.31439208984375,0.13999153673648834,0.12008416652679443,0.15888804570463558
0.05,function_curve_fit,10,10,flow_group,mid_flow,overall,overall,False,65182,65182,0,131009.0,65182.0,0.0,174.2458953857422,304.8937072753906,0.07934656739234924,0.07892416417598724,0.2163484917386691,11357696.0,6059330560.0,5171.9677734375,65182,5144.43505859375,65182,1487.30615234375,2896.577392578125,174.2458953857422,304.8937072753906,0.07934656739234924,0.07892416417598724,0.2163484917386691
0.05,function_curve_fit,10,10,length_group,overall,long,overall,False,80671,80671,0,165176.0,80671.0,0.0,154.6703643798828,294.6922302246094,0.08970338106155396,0.08263357728719711,0.03185469818115717,12477413.0,7005752320.0,7200.40087890625,80269,6666.13330078125,80671,0.0,9251.138671875,154.6703643798828,294.6922302246094,0.08970338106155396,0.08263357728719711,0.03185469818115717
0.05,function_curve_fit,10,10,length_group,overall,mid,overall,False,91282,91282,0,190891.0,91282.0,0.0,150.4872283935547,285.5821228027344,0.08363006263971329,0.08174752444028854,0.030480349558329206,13736775.0,7444700672.0,7587.671875,90729,7462.07763671875,91282,0.0,9369.384765625,150.4872283935547,285.5821228027344,0.08363006263971329,0.08174752444028854,0.030480349558329206
0.05,function_curve_fit,10,10,length_group,overall,short,overall,False,29500,29500,0,62028.0,29500.0,0.0,150.63818359375,286.5370178222656,0.09696320444345474,0.08447976410388947,0.03192754751581938,4443826.5,2422052096.0,2843.251953125,29323,2492.153076171875,29500,0.0,8974.6015625,150.63818359375,286.5370178222656,0.09696320444345474,0.08447976410388947,0.03192754751581938
0.05,function_curve_fit,10,10,overall,overall,overall,overall,False,201453,201453,0,418095.0,201453.0,0.0,152.1844482421875,289.4029235839844,0.0880153551697731,0.08250245451927185,0.0308881458946765,30658014.0,16872504320.0,17631.32421875,200321,16620.3671875,201453,0.0,9369.384765625,152.1844482421875,289.4029235839844,0.0880153551697731,0.08250245451927185,0.0308881458946765
0.05,function_curve_fit,11,11,flow_group,high_flow,overall,overall,False,70324,70324,0,167225.0,70324.0,0.0,165.574462890625,299.4345703125,0.044419076293706894,0.04705333337187767,0.04023168636470498,11643858.0,6305325056.0,3123.72705078125,70324,3308.978515625,70324,2896.593017578125,10339.34765625,165.574462890625,299.4345703125,0.044419076293706894,0.04705333337187767,0.04023168636470498
0.05,function_curve_fit,11,11,flow_group,low_flow,overall,overall,False,67335,67335,0,121016.0,67335.0,0.0,93.77674865722656,206.99729919433594,0.1323121339082718,0.10756366699934006,0.13917638509987337,6314457.5,2885161984.0,8784.0703125,66389,7242.79931640625,67335,0.0,1487.3018798828125,93.77674865722656,206.99729919433594,0.1323121339082718,0.10756366699934006,0.13917638509987337
0.05,function_curve_fit,11,11,flow_group,mid_flow,overall,overall,False,63364,63364,0,126918.0,63364.0,0.0,153.193115234375,266.8216552734375,0.06932272762060165,0.07003159075975418,0.1893333850741087,9706929.0,4511123968.0,4392.5654296875,63364,4437.48193359375,63364,1487.3033447265625,2896.572265625,153.193115234375,266.8216552734375,0.06932272762060165,0.07003159075975418,0.1893333850741087
0.05,function_curve_fit,11,11,length_group,overall,long,overall,False,81522,81522,0,165382.0,81522.0,0.0,137.63595581054688,264.903076171875,0.08623651415109634,0.0735628753900528,0.029440907575385273,11220359.0,5720695808.0,6999.0419921875,81161,5996.99267578125,81522,0.0,8997.7890625,137.63595581054688,264.903076171875,0.08623651415109634,0.0735628753900528,0.029440907575385273
0.05,function_curve_fit,11,11,length_group,overall,mid,overall,False,90055,90055,0,187436.0,90055.0,0.0,138.14308166503906,259.8981018066406,0.08008702099323273,0.0752873569726944,0.025136798804664975,12440475.0,6082948096.0,7177.95947265625,89627,6780.0029296875,90055,0.0,10339.34765625,138.14308166503906,259.8981018066406,0.08008702099323273,0.0752873569726944,0.025136798804664975
0.05,function_curve_fit,11,11,length_group,overall,short,overall,False,29446,29446,0,62341.0,29446.0,0.0,135.9916229248047,253.881591796875,0.07249687612056732,0.07512951642274857,0.02830629184770389,4004409.5,1897967232.0,2123.361083984375,29289,2212.263671875,29446,0.0,8969.0869140625,135.9916229248047,253.881591796875,0.07249687612056732,0.07512951642274857,0.02830629184770389
0.05,function_curve_fit,11,11,overall,overall,overall,overall,False,201023,201023,0,415159.0,201023.0,0.0,137.62228393554688,261.0735778808594,0.08147043734788895,0.07456489652395248,0.02525048838289559,27665244.0,13701609472.0,16300.361328125,200077,14989.2587890625,201023,0.0,10339.34765625,137.62228393554688,261.0735778808594,0.08147043734788895,0.07456489652395248,0.02525048838289559
