missing_rate,method,fallback_policy,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.2,mean_fill,same_slot_7day_mean -> node_7day_mean -> slot_7day_mean -> global_7day_mean -> current_day_forward_fill,0,0,node_flow_chunk_000.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_mf\node_flow_chunk_000.parquet,806443,806443,True,True,completed,recomputed,1.14041050000003,57185895,2026-06-16T08:48:35.932356834+00:00
0.2,mean_fill,same_slot_7day_mean -> node_7day_mean -> slot_7day_mean -> global_7day_mean -> current_day_forward_fill,1,1,node_flow_chunk_001.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_mf\node_flow_chunk_001.parquet,807216,167033,True,True,completed,recomputed,1.2212782000000288,57933760,2026-06-16T08:48:49.305070162+00:00
0.2,mean_fill,same_slot_7day_mean -> node_7day_mean -> slot_7day_mean -> global_7day_mean -> current_day_forward_fill,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_mf\node_flow_chunk_002.parquet,807312,35736,True,True,completed,recomputed,1.7907401999999593,57931486,2026-06-16T08:49:03.646168232+00:00
0.2,mean_fill,same_slot_7day_mean -> node_7day_mean -> slot_7day_mean -> global_7day_mean -> current_day_forward_fill,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_mf\node_flow_chunk_003.parquet,807295,7717,True,True,completed,recomputed,1.7429022999999688,57957915,2026-06-16T08:49:19.466455936+00:00
0.2,mean_fill,same_slot_7day_mean -> node_7day_mean -> slot_7day_mean -> global_7day_mean -> current_day_forward_fill,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_mf\node_flow_chunk_004.parquet,807204,1663,True,True,completed,recomputed,1.2693214999999327,57996491,2026-06-16T08:49:34.313284874+00:00
0.2,mean_fill,same_slot_7day_mean -> node_7day_mean -> slot_7day_mean -> global_7day_mean -> current_day_forward_fill,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_mf\node_flow_chunk_005.parquet,806834,440,True,True,completed,recomputed,1.2678647000000183,58054469,2026-06-16T08:49:49.039772749+00:00
0.2,mean_fill,same_slot_7day_mean -> node_7day_mean -> slot_7day_mean -> global_7day_mean -> current_day_forward_fill,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_mf\node_flow_chunk_006.parquet,806043,105,True,True,completed,recomputed,1.1678150000000187,58065501,2026-06-16T08:50:04.342069387+00:00
0.2,mean_fill,same_slot_7day_mean -> node_7day_mean -> slot_7day_mean -> global_7day_mean -> current_day_forward_fill,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_mf\node_flow_chunk_007.parquet,808111,28,True,True,completed,recomputed,1.2348247000001038,58088643,2026-06-16T08:50:19.515473366+00:00
0.2,mean_fill,same_slot_7day_mean -> node_7day_mean -> slot_7day_mean -> global_7day_mean -> current_day_forward_fill,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_mf\node_flow_chunk_008.parquet,808578,16,True,True,completed,recomputed,1.150266600000009,58002557,2026-06-16T08:50:34.925170660+00:00
0.2,mean_fill,same_slot_7day_mean -> node_7day_mean -> slot_7day_mean -> global_7day_mean -> current_day_forward_fill,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_mf\node_flow_chunk_009.parquet,807462,17,True,True,completed,recomputed,1.1297131000000036,58001123,2026-06-16T08:50:49.965705156+00:00
0.2,mean_fill,same_slot_7day_mean -> node_7day_mean -> slot_7day_mean -> global_7day_mean -> current_day_forward_fill,10,10,node_flow_chunk_010.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_mf\node_flow_chunk_010.parquet,807409,25,True,True,completed,recomputed,1.25207690000002,58038762,2026-06-16T08:51:05.381244183+00:00
0.2,mean_fill,same_slot_7day_mean -> node_7day_mean -> slot_7day_mean -> global_7day_mean -> current_day_forward_fill,11,11,node_flow_chunk_011.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_mf\node_flow_chunk_011.parquet,807754,15,True,True,completed,recomputed,1.2022569000000658,58005806,2026-06-16T08:51:20.252532482+00:00
0.2,mean_fill,same_slot_7day_mean -> node_7day_mean -> slot_7day_mean -> global_7day_mean -> current_day_forward_fill,12,12,node_flow_chunk_012.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_mf\node_flow_chunk_012.parquet,806985,16,True,True,completed,recomputed,1.2256767000001219,57998892,2026-06-16T08:51:35.477921247+00:00
