missing_rate,method,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.2,historical_linear_extrapolation,22,22,node_flow_chunk_022.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_022.parquet,806973,0,True,True,completed,recomputed,1.420421000000033,58172194,2026-06-16T01:36:56.928640604+00:00
0.2,historical_linear_extrapolation,23,23,node_flow_chunk_023.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_023.parquet,807645,0,True,True,completed,recomputed,1.5724383000000444,58164724,2026-06-16T01:37:15.906234264+00:00
0.2,historical_linear_extrapolation,24,24,node_flow_chunk_024.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_024.parquet,807600,0,True,True,completed,recomputed,1.5783119999999826,58185312,2026-06-16T01:37:34.914954662+00:00
0.2,historical_linear_extrapolation,25,25,node_flow_chunk_025.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_025.parquet,806679,0,True,True,completed,recomputed,1.4914394999999558,58170063,2026-06-16T01:37:53.863842726+00:00
0.2,historical_linear_extrapolation,26,26,node_flow_chunk_026.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_026.parquet,806703,0,True,True,completed,recomputed,1.595891300000062,58178281,2026-06-16T01:38:12.840500116+00:00
0.2,historical_linear_extrapolation,27,27,node_flow_chunk_027.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_027.parquet,807798,0,True,True,completed,recomputed,1.6079336999999896,58180509,2026-06-16T01:38:31.515245676+00:00
0.2,historical_linear_extrapolation,28,28,node_flow_chunk_028.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_028.parquet,806585,0,True,True,completed,recomputed,1.5243729999999687,58167276,2026-06-16T01:38:50.477394104+00:00
0.2,historical_linear_extrapolation,29,29,node_flow_chunk_029.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_029.parquet,806440,0,True,True,completed,recomputed,1.3422686999999769,58140695,2026-06-16T01:39:09.185095787+00:00
0.2,historical_linear_extrapolation,30,30,node_flow_chunk_030.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_030.parquet,806639,0,True,True,completed,recomputed,1.0772967000000335,58104833,2026-06-16T01:39:22.359541416+00:00
0.2,historical_linear_extrapolation,31,31,node_flow_chunk_031.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_031.parquet,807919,0,True,True,completed,recomputed,1.0752323000000388,58114917,2026-06-16T01:39:35.937931299+00:00
0.2,historical_linear_extrapolation,32,32,node_flow_chunk_032.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_032.parquet,807168,0,True,True,completed,recomputed,1.0939506999999367,58148348,2026-06-16T01:39:50.172094584+00:00
