missing_rate,mechanism,seed,day_index,file_name,mask_path,missing_dataset_path,actual_missing_count,actual_missing_rate
0.05,mcar_point,42,50,node_flow_chunk_050.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_050_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_050_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,51,node_flow_chunk_051.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_051_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_051_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,52,node_flow_chunk_052.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_052_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_052_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,53,node_flow_chunk_053.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_053_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_053_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,54,node_flow_chunk_054.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_054_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_054_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,55,node_flow_chunk_055.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_055_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_055_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,56,node_flow_chunk_056.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_056_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_056_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,57,node_flow_chunk_057.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_057_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_057_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,58,node_flow_chunk_058.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_058_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_058_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,59,node_flow_chunk_059.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_059_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_059_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,60,node_flow_chunk_060.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_060_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_060_missing.parquet,201749,0.05000004956658974
