missing_rate,mechanism,seed,impute_method,day_index,file_name,is_warmup,flow_group,count,sum_abs_error,sum_squared_error,sum_pct_error,count_pct,sum_smape
0.05,mcar_point,42,geo_func_hybrid,51,node_flow_chunk_051.parquet,False,high_flow,60638.0,10529017.428533278,6336324598.563785,357609.39946303476,60616.0,314336.37319946516
0.05,mcar_point,42,geo_func_hybrid,52,node_flow_chunk_052.parquet,False,all,201749.0,28292103.012438424,16630042592.275537,1911873.6833331757,200551.0,1528494.4792261524
0.05,mcar_point,42,geo_func_hybrid,52,node_flow_chunk_052.parquet,False,low_flow,60361.0,4904566.047645895,1989004697.2096152,567408.5306166705,59397.0,567832.9805822156
0.05,mcar_point,42,geo_func_hybrid,52,node_flow_chunk_052.parquet,False,mid_flow,80853.0,12337059.729960615,6797822556.74499,878468.347585174,80644.0,627200.7287910446
0.05,mcar_point,42,geo_func_hybrid,52,node_flow_chunk_052.parquet,False,high_flow,60535.0,11050477.23483191,7843215338.32093,465996.80513133144,60510.0,333460.76985289186
0.05,mcar_point,42,geo_func_hybrid,53,node_flow_chunk_053.parquet,False,all,201749.0,24216457.1858705,10956484211.4057,1588749.3158616333,200764.0,1313170.4555676165
0.05,mcar_point,42,geo_func_hybrid,53,node_flow_chunk_053.parquet,False,low_flow,60731.0,4581210.976104207,1634327048.8824146,564220.8269384939,59903.0,520027.03205451026
0.05,mcar_point,42,geo_func_hybrid,53,node_flow_chunk_053.parquet,False,mid_flow,80690.0,10529754.018849237,4626274364.931369,713942.4051518912,80552.0,523530.14537572756
0.05,mcar_point,42,geo_func_hybrid,53,node_flow_chunk_053.parquet,False,high_flow,60328.0,9105492.190917054,4695882797.591917,310586.08377124806,60309.0,269613.2781373784
0.05,mcar_point,42,geo_func_hybrid,54,node_flow_chunk_054.parquet,False,all,201749.0,25013434.83758969,11423036788.610725,1651417.9749645495,200720.0,1357032.0805572812
0.05,mcar_point,42,geo_func_hybrid,54,node_flow_chunk_054.parquet,False,low_flow,60697.0,4623657.394016327,1603442916.8258755,614962.0552350716,59813.0,538599.2192782564
0.05,mcar_point,42,geo_func_hybrid,54,node_flow_chunk_054.parquet,False,mid_flow,80861.0,10951390.164863192,4866476900.190559,722186.6547842494,80732.0,540881.666285551
0.05,mcar_point,42,geo_func_hybrid,54,node_flow_chunk_054.parquet,False,high_flow,60191.0,9438387.278710162,4953116971.594293,314269.26494522835,60175.0,277551.194993474
